,Grouping,CommodityCategory,SizeOfSpend,MultiAgency,BusinessProcessImpact,TechChange,PublicSafety,MarketRisk,Sensitivity,Leveragability,BuyerInitials,Score,LevelCalc,Division,CategoryID
0,Public Safety,Access Control Systems,3,5,4,5,3,1,3,5,SR4,32,4,COMM,1
1,Financial Services,Accounting,5,5,1,1,1,1,3,5,DPS,25,3,PROF,2
2,Financial Services,Actuarial Services,4,3,3,1,1,3,3,5,JW3,26,3,PROF,3
3,Communication,Advertising & Marketing,5,5,2,3,1,3,5,5,MO2,34,4,PROF,4
4,Logistics,Aerial Services,3,2,2,1,3,1,1,0,,14,1,PROF,5
5,Agriculture,Aerial Spraying,1,3,1,1,1,1,1,0,,10,1,PROF,6
6,Transportation,Aerial Supplies & Aircraft,4,2,1,1,3,1,1,0,,14,1,COMM,7
7,Agriculture,Agricultural Services,1,1,1,1,1,1,1,0,,8,1,COMM,8
8,Agriculture,Agriculture Supplies,2,3,1,1,1,1,1,0,,11,1,COMM,9
9,Health,Alcohol & Drug Rehab,3,1,2,1,3,1,3,0,BS5,17,2,PROF,10
10,Health,Alcohol & Drug Testing,4,5,3,3,5,1,3,5,BS5,32,4,PROF,11
11,Agriculture,Animal & Veterinary Services,1,2,1,1,1,1,1,0,,9,1,COMM,12
12,Agriculture,Animals & Wildlife Supplies,2,3,1,1,1,1,1,2,,13,1,COMM,13
13,Office Supplies,Appliances,1,3,1,1,1,1,1,0,,10,1,COMM,14
14,Financial Services,Appraisal Services,2,2,1,1,1,1,1,2,,12,1,PROF,15
15,Construction,Architect & Engineer Services,5,5,3,1,5,5,1,0,,26,3,,16
16,Financial Services,Armored Car Services,2,2,4,1,3,5,3,5,SDC,28,3,COMM,17
17,Other Commodities,Arts & Crafts Items,1,2,1,1,1,1,1,0,,9,1,COMM,18
18,Health,Assistive Devices,1,3,1,3,1,1,1,0,,12,1,COMM,19
19,Motor Vehicles,"ATVs, Snowmobiles & Carts",3,3,2,1,3,1,1,5,,20,2,COMM,20
20,Financial Services,Auction Services,2,3,1,1,1,1,1,5,DPS,16,2,PROF,21
21,Other Commodities,Audio-Visual Supplies,3,4,1,3,1,1,1,0,,15,2,COMM,22
22,Financial Services,Banking Services,5,5,5,5,1,3,5,5,MK6,39,5,PROF,23
23,Other Commodities,Banners & Flags,1,4,1,1,1,1,1,0,,11,1,COMM,24
24,Other Commodities,Barber & Beautician Supplies,1,2,1,1,1,1,1,0,,9,1,COMM,25
25,Construction,Barriers & Enclosures,2,3,2,1,3,1,1,5,,19,2,COMM,26
26,Financial Services,Billing Services,4,4,3,1,1,1,3,5,DPS,25,3,PROF,27
27,MRO,Boilers & Water Heaters,2,3,2,1,1,1,1,0,,12,1,COMM,28
28,Financial Services,Bond Services,4,2,3,1,1,1,1,0,,14,1,PROF,29
29,Publications,Books & Other Publications,4,5,1,1,1,1,1,0,,15,2,COMM,30
30,Construction,"Bricks, Tile & Stone",1,2,2,1,1,1,1,5,,15,2,COMM,31
