,ID,SharePointID,ProjectColor,ProjectName,ProjectType,CreateDate,CreatedBy,PlanStartDate,PlanFinishDate,StatusDate,ProjectDescription,DollarAmount,Status,WorkPerformedFor,RefrenceNumber,ProjectStage,CancelationReason,BuyerName,Hours,SensitivityIndicator,Division_x,SourcingCategory,ActualFinishDate,Unit,SLA,Planned,SolicitationStatus,LastUpdatedBy,LastUpdateDate,LastUpdatedField,CategoryID_x,FedReview,ITComponent,SolicitationNum,Grouping,CommodityCategory,SizeOfSpend,MultiAgency,BusinessProcessImpact,TechChange,PublicSafety,MarketRisk,Sensitivity,Leveragability,BuyerInitials,Score,LevelCalc,Division_y,CategoryID_y
0,3338,3338,Green,Community Ventures,RFP,2017-07-17,keilenn,2017-07-07,2018-04-01,2018-02-09,To provide wraparound supportive services to Community Ventures participants to help them retain employment.,10250000.0,Received notification from Mike Wurmlinger that the project was being canceled.,186,C20170710-143322,Canceled,,BS5,120.0,False,PROF,Management Services,,,138,Yes,,testM,2019-03-06 16:32:52,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
1,3687,3687,Green,(CN 071B1300215 - Maximus - Useful Life Extension),CN,2017-07-17,Gibrilm,2017-06-12,2017-10-16,2017-10-10,DHHS is requesting a five year useful life extension.,,10/10/17: Status complete. Change Notice No. 22 fully executed 10/10/17.,431,C20170217-113922,Complete,0.0,JW3,7.0,False,PROF,Management Services,2017-10-10,,63,,N/A,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
2,3970,3970,Green,MAXIMUS - 071B1300215,CN,2017-07-25,keilenn,2017-07-25,2017-10-20,2017-07-25,"The Centers for Medicare and Medicaid Services (CMS) Audit for 2017 has 303 security controls that need to be reviewed, updated and artifacts submitted by MAXIMUS regarding the MAGI Viewer and the MAXIMUS physical data center hosting the Viewer.",0.0,Change notice executed on 8/1/2017.,431,C20170714-150222,Complete,0.0,JW3,10.0,False,PROF,Management Services,2017-08-01,,63,,,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
3,5015,5015,Green,Maximus - 071B1300215,CN,2017-08-22,keilenn,2017-08-22,2017-11-19,2017-08-22,This  SOW will give customers a phone number to call with general questions or issues with the new website for MiBridges.,0.0,Complete,391,C20170821-113107,Complete,0.0,JW3,7.0,False,PROF,Management Services,2017-08-30,,63,,,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
4,5671,5671,Green,Aircraft Services,RFP,2017-11-20,,2017-10-11,2018-10-01,2018-01-24,"This is a request for proposal for aircraft management services for the Michigan Department of Transportation aircraft fleet pursuant to Public Act 107 of 2017. 
This RFP must be posted by November 1, 2017 per legislative directive.",15000000.0,The synopsis was completed and approved on 1/24/18.  The No Award of Contract (including synopsis and price analysis) was posted on SIGMA VSS on 1/24/18.  Completed.,591,180000000133,Complete,0.0,SDC,120.0,False,PROF,Management Services,2018-01-24,,138,,New-Bid,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
5,5678,5678,Green,21st Century Asset Management Pilot Project,RFP,2017-11-22,EdgettC,2017-11-14,2018-03-15,2018-03-02,"Asset Management Pilot Program to develop, pilot and implement an integrated asset management database",0.0,Complete.,011,,Complete,0.0,CK1,40.0,False,PROF,Management Services,2018-03-02,,138,,New-Bid,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
6,5915,5915,Green,071B1300215 CN XX - Maximus - Add 2018 CMS Audit support services SOW,CN,2018-01-29,barronj1,2018-03-12,2018-06-07,2018-03-15,Add 2018 CMS Audit support services SOW,72000.0,Completed.,391,GR 171-180000000775,Complete,0.0,CK1,8.0,False,PROF,Management Services,2018-03-19,,63,,N/A,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
7,6940,6940,Green,071B6600103 - Title Search and Tax Forfeiture Related Services,CN,2018-04-24,Gibrilm,2019-02-14,2019-04-25,2019-02-25,"Treasury is requesting a renewal of MA 071B6600103C using 3 of the 5 available option years. No additional funds are required at this time, and no adjustments to pricing are needed either.",0.0,Complete.,271,GR 190000000772,Complete,0.0,CK1,7.0,False,PROF,Management Services,2019-02-25,0.0,50,Yes,N/A,floresc,2019-02-27 08:48:22,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
8,6953,6953,Green,071B6600130 - WIC Compliance buys and provide other investigative services at WIC approved stores,CN,2018-04-24,Gibrilm,2019-05-01,2019-07-07,,071B6600130,0.0,,491,,Canceled,,CK1,7.0,False,PROF,Management Services,,0.0,50,Yes,N/A,floresc,2019-01-10 13:04:43,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
9,7319,7319,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2018-05-09,EdgettC,2018-05-11,2018-05-31,2018-05-23,Add 2 SOWs to the Contract (operational/call center services and enhancements),0.0,Complete.,391,GR 491 180000001275,Complete,0.0,CK1,10.0,False,PROF,Management Services,2018-05-25,0.0,63,No,N/A,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
